Accession,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control,Abundance R1 127N Sample,Abundance R3 127N Sample,Abundance R2 127N Sample,Abundance R1 127C Sample,Abundance R3 127C Sample,Abundance R2 127C Sample,Abundance R1 128N Sample,Abundance R3 128N Sample,Abundance R2 128N Sample,Abundance R1 128C Sample,Abundance R3 128C Sample,Abundance R2 128C Sample,Abundance R1 129N Sample,Abundance R3 129N Sample,Abundance R2 129N Sample,Abundance R1 129C Sample,Abundance R3 129C Sample,Abundance R2 129C Sample,Abundance R1 130N Sample,Abundance R3 130N Sample,Abundance R2 130N Sample,Abundance R1 130C Sample,Abundance R3 130C Sample,Abundance R2 130C Sample
XP_005251033.1,74054.7,124349.4,57905.7,67453.5,113976.1,54892.9,41878.7,72004,39250.7,78459,131329,61290.1,67285.8,115226.1,61010.8,79749.2,145103.4,66227.6,58250.4,97293.9,52230.8,58241,102773.1,51282,42025.2,73980.7,42993.2
XP_005251039.1,214.1,,,206.6,,,192.3,,,241.6,,,251.5,,,210,,,204.3,,,226.4,,,228.1,,
XP_016873759.1,25771.4,22486.2,42002.5,24332.9,21067.5,37934.7,15718.3,14167.7,28127.6,24418.8,21835.2,39450.1,20761.3,18153.7,35638.3,23772.4,20307.8,34908.9,18364,16798,33300.1,15954.8,14435.7,24525.7,12763,11624.8,23813.4
NP_001104026.1,32481.8,42074.6,48838.3,31264.1,39870.3,45191.5,22106.3,28072.4,32174.6,33688.6,43499.4,46530,31620.3,40721.9,46773.6,45705.4,57595.2,64404.2,27448.6,35747.3,42213.5,24198.6,30764.6,33317,17074.4,21740.1,25631.2
NP_006280.3,19352.6,24082.6,25566,18193.2,23118.1,25173.6,12457.9,17340.7,20406,20672.8,25912.9,27516.3,19863.4,27546.4,30793.3,21110.2,28411,30793.7,16225,22416.3,25328.2,18889.1,25562.6,26745.3,13744.2,20070.5,24909.1
NP_003371.2,84439.1,110019.1,75159.6,75966,98001.9,65937.9,47818.9,60445.9,42664.1,78924.3,103808,76800.7,63406,81213.9,57509.5,76716.7,100744.7,67732.1,50837.3,65992.7,50608.6,49388.8,66611.3,47914.6,42527,54166.8,38337
NP_733821.1,56570.4,66445.9,54005.2,52302.1,62699.7,50799,32198.3,38208.2,33367.3,52502.7,68047.3,55194.3,42372,51353,44996.3,53349.2,70963,57735.1,35907.8,44257.7,38114.9,34658.2,44355.8,35273.2,27377,32440.1,30410.7
NP_005091.2,11595,33603.8,14992.3,10290.7,30566.1,14268.7,6238.1,16728.7,8023.4,11015.1,33196.3,14327,8885.1,24931.2,11888.1,15187.5,43930.8,20495.1,16958.8,45215.4,21455.3,16283.4,46921.1,21657,11917.9,29221.7,14595
NP_006608.1,39044.2,32999.6,21444.2,35084.1,31848.4,20728,19284.2,19396.5,14526.3,36987.7,33676.9,20717.9,29911,27619,20337.3,36512.1,35428.2,22382.4,26169.8,24274,18125.2,28882,27529.9,18450.5,21839.5,21645.1,18273.1
NP_006588.1,32383.6,54593.5,65676.1,30377.5,49172.1,59524.1,19612.3,31493.8,41204.4,32720.6,55504.1,67534.6,28791.5,46223.9,60344.8,28981.9,56659.5,71184.8,28380.2,43736.3,57084.9,26705.3,44345.9,54471.8,19283.1,30250.1,40810.4
NP_008835.5,11414,19681,10169.1,11549.2,19889.7,10528.4,10957.3,18174.7,11998.4,12807.2,22368.7,11691.9,19224.8,31914.1,21189.3,15390.3,30081.1,14304.3,11477.1,19000.3,13571.4,12967.5,23396,14203.7,11752,19237.1,14075.8
NP_001352542.1,37062.5,51670,26381,30229.9,43439.1,23080.1,13591.5,20366.8,12355.8,33185.4,47192.3,23172,20821.3,31354.8,17887.7,27936.1,42007.4,21109.8,21325,31446,17520.1,23802.7,36206.4,18163.7,15962.2,25356.1,15251.8
NP_002464.1,19427.3,25402.4,22284.2,18006.9,23741.6,20898.2,11798.1,15371.9,16056.8,18953.9,26016.7,22605.4,17417.6,22669,22470.5,20315.9,28743.7,24522.8,14633.9,20409,20264.4,13692.9,19239.6,17655.7,10748.6,14191.3,15703.4
