category,ID,term,value,genes,logFC,adj_pval,zscore
BP,GO:0051336,regulation of hydrolase activity,42,TBC1D9,-0.567593574,0.001171166,0.3086067
BP,GO:0051336,regulation of hydrolase activity,42,LEPR,2.65397884,0.001171166,0.3086067
BP,GO:0051336,regulation of hydrolase activity,42,ABHD5,0.39715894,0.001171166,0.3086067
BP,GO:0051336,regulation of hydrolase activity,42,EDN1,1.381300593,0.001171166,0.3086067
BP,GO:0051336,regulation of hydrolase activity,42,ASAP2,-1.57587399,0.001171166,0.3086067
BP,GO:0051336,regulation of hydrolase activity,42,ASAP3,0.833225407,0.001171166,0.3086067
BP,GO:0051336,regulation of hydrolase activity,42,SMAP1,0.655134843,0.001171166,0.3086067
BP,GO:0051336,regulation of hydrolase activity,42,TBC1D12,0.555583003,0.001171166,0.3086067
BP,GO:0051336,regulation of hydrolase activity,42,ANG,1.78593955,0.001171166,0.3086067
BP,GO:0051336,regulation of hydrolase activity,42,TBC1D14,1.702760073,0.001171166,0.3086067
BP,GO:0051336,regulation of hydrolase activity,42,MTCH1,-0.545125007,0.001171166,0.3086067
BP,GO:0051336,regulation of hydrolase activity,42,TBC1D13,1.31116215,0.001171166,0.3086067
BP,GO:0051336,regulation of hydrolase activity,42,TBC1D4,2.52632966,0.001171166,0.3086067
BP,GO:0051336,regulation of hydrolase activity,42,TBC1D30,0.404044468,0.001171166,0.3086067
BP,GO:0051336,regulation of hydrolase activity,42,DHCR24,0.784658747,0.001171166,0.3086067
BP,GO:0051336,regulation of hydrolase activity,42,HIP1,0.838269558,0.001171166,0.3086067
BP,GO:0051336,regulation of hydrolase activity,42,VAV3,-3.272060383,0.001171166,0.3086067
BP,GO:0051336,regulation of hydrolase activity,42,NOS1,0.49661843,0.001171166,0.3086067
BP,GO:0051336,regulation of hydrolase activity,42,NF1,-0.701186185,0.001171166,0.3086067
BP,GO:0051336,regulation of hydrolase activity,42,MYH6,-1.608701091,0.001171166,0.3086067
BP,GO:0051336,regulation of hydrolase activity,42,RICTOR,0.485597608,0.001171166,0.3086067
BP,GO:0051336,regulation of hydrolase activity,42,TBC1D22A,-0.83070358,0.001171166,0.3086067
BP,GO:0051336,regulation of hydrolase activity,42,THY1,-0.553856214,0.001171166,0.3086067
BP,GO:0051336,regulation of hydrolase activity,42,PLCE1,-0.583871842,0.001171166,0.3086067
BP,GO:0051336,regulation of hydrolase activity,42,RNF7,0.344718936,0.001171166,0.3086067
BP,GO:0051336,regulation of hydrolase activity,42,NDEL1,-1.45721722,0.001171166,0.3086067
