category,term,count,genes,,
BP,heart development,54,DLC1,,
BP,heart development,54,NRP2,,
BP,heart development,54,NRP1,,
BP,heart development,54,EDN1,,
BP,heart development,54,PDLIM3,,
BP,heart development,54,GJA1,,
BP,heart development,54,TTN,,
BP,heart development,54,GJA5,,
BP,heart development,54,ZIC3,,
BP,heart development,54,TGFB2,,
BP,heart development,54,CERKL,,
BP,heart development,54,GATA6,,
BP,heart development,54,COL4A3BP,,
BP,heart development,54,GAB1,,
BP,heart development,54,SEMA3C,,
BP,heart development,54,MKL2,,
BP,heart development,54,SLC22A5,,
BP,heart development,54,MB,,
BP,heart development,54,PTPRJ,,
BP,heart development,54,RXRA,,
BP,heart development,54,VANGL2,,
BP,heart development,54,MYH6,,
BP,heart development,54,TNNT2,,
BP,heart development,54,HHEX,,
BP,heart development,54,MURC,,
BP,heart development,54,MIB1,,
BP,heart development,54,FOXC2,,
BP,heart development,54,FOXC1,,
BP,heart development,54,ADAM19,,
BP,heart development,54,MYL2,,
BP,heart development,54,TCAP,,
BP,heart development,54,EGLN1,,
BP,heart development,54,SOX9,,
BP,heart development,54,ITGB1,,
BP,heart development,54,CHD7,,
BP,heart development,54,HEXIM1,,
BP,heart development,54,PKD2,,
BP,heart development,54,NFATC4,,
BP,heart development,54,PCSK5,,
BP,heart development,54,ACTC1,,
BP,heart development,54,TGFBR2,,
BP,heart development,54,NF1,,
BP,heart development,54,HSPG2,,
BP,heart development,54,SMAD3,,
BP,heart development,54,TBX1,,
BP,heart development,54,TNNI3,,
BP,heart development,54,CSRP3,,
BP,heart development,54,FOXP1,,
BP,heart development,54,KCNJ8,,
BP,heart development,54,PLN,,
BP,heart development,54,TSC2,,
BP,heart development,54,ATP6V0A1,,
BP,heart development,54,TGFBR3,,
BP,heart development,54,HDAC9,,
BP,blood vessel development,55,GNA13,,
BP,blood vessel development,55,ACVRL1,,
BP,blood vessel development,55,NRP1,,
BP,blood vessel development,55,PGF,,
BP,blood vessel development,55,IL18,,
BP,blood vessel development,55,LEPR,,
BP,blood vessel development,55,EDN1,,
BP,blood vessel development,55,GJA1,,
BP,blood vessel development,55,FOXO1,,
BP,blood vessel development,55,GJA5,,
BP,blood vessel development,55,TGFB2,,
BP,blood vessel development,55,WARS,,
BP,blood vessel development,55,CERKL,,
BP,blood vessel development,55,APOE,,
BP,blood vessel development,55,CXCR4,,
BP,blood vessel development,55,ANG,,
BP,blood vessel development,55,SEMA3C,,
BP,blood vessel development,55,NOS2,,
BP,blood vessel development,55,MKL2,,
BP,blood vessel development,55,FGF2,,
BP,blood vessel development,55,RAPGEF1,,
BP,blood vessel development,55,PTPRJ,,
BP,blood vessel development,55,RECK,,
BP,blood vessel development,55,VASH1,,
BP,blood vessel development,55,PNPLA6,,
BP,blood vessel development,55,THY1,,
BP,blood vessel development,55,MIB1,,
BP,blood vessel development,55,NUS1,,
BP,blood vessel development,55,FOXC2,,
BP,blood vessel development,55,FOXC1,,
BP,blood vessel development,55,CAV1,,
BP,blood vessel development,55,CDH2,,
BP,blood vessel development,55,MEIS1,,
BP,blood vessel development,55,WT1,,
BP,blood vessel development,55,CDH5,,
BP,blood vessel development,55,PTK2,,
BP,blood vessel development,55,FBXW8,,
BP,blood vessel development,55,CHD7,,
BP,blood vessel development,55,PLCD1,,
BP,blood vessel development,55,PLXND1,,
BP,blood vessel development,55,FIGF,,
BP,blood vessel development,55,PPAP2B,,
BP,blood vessel development,55,MAP2K1,,
BP,blood vessel development,55,TBX4,,
BP,blood vessel development,55,TGFBR2,,
BP,blood vessel development,55,NF1,,
BP,blood vessel development,55,TBX1,,
BP,blood vessel development,55,TNNI3,,
BP,blood vessel development,55,LAMA4,,
BP,blood vessel development,55,MEOX2,,
BP,blood vessel development,55,ECSCR,,
BP,blood vessel development,55,HBEGF,,
BP,blood vessel development,55,AMOT,,
BP,blood vessel development,55,TGFBR3,,
BP,blood vessel development,55,HDAC7,,
BP,vasculature development,56,GNA13,,
BP,vasculature development,56,ACVRL1,,
BP,vasculature development,56,NRP1,,
BP,vasculature development,56,PGF,,
BP,vasculature development,56,IL18,,
BP,vasculature development,56,LEPR,,
BP,vasculature development,56,EDN1,,
BP,vasculature development,56,GJA1,,
BP,vasculature development,56,FOXO1,,
BP,vasculature development,56,GJA5,,
BP,vasculature development,56,TGFB2,,
