NORM_Abundance BR1 126 control,NORM_Abundance BR2 126 control,NORM_Abundance BR3 126 control,NORM_Abundance BR1 127C Sample,NORM_Abundance BR1 127N Sample,NORM_Abundance BR1 128C Sample,NORM_Abundance BR1 128N Sample,NORM_Abundance BR2 127C Sample,NORM_Abundance BR2 127N Sample,NORM_Abundance BR2 128C Sample,NORM_Abundance BR2 128N Sample,NORM_Abundance BR3 127C Sample,NORM_Abundance BR3 127N Sample,NORM_Abundance BR3 128C Sample,NORM_Abundance BR3 128N Sample,_GENE_SYMBOL_
43694.73735,57640.89296,28444.97272,41878.7,42053.75445,44832.48201,46611.50192,29638.18002,27954.17222,31305.35692,30609.99735,58252.38875,55956.78613,61624.46902,61252.4312,PLEC
15205.98361,10423.2481,20632.85595,15718.3,15170.29956,13833.23983,14506.90097,21239.13388,19318.22033,18286.42964,19702.48794,11461.89612,10343.12976,9708.843077,10184.03464,AHNAK
19165.34291,19503.25064,23990.80075,22106.3,19491.54283,21068.58402,20013.97218,24295.02116,23013.74083,24000.08265,23238.38885,22711.02102,19574.40068,21778.62017,20288.31412,FLNA
11418.67801,11163.243,12558.76662,12457.9,11342.51544,13234.96968,12281.44963,15408.55836,12819.63878,15800.40333,13742.41305,14028.90392,11349.87578,14732.18545,12085.89211,TLN1
49821.87892,50998.22891,36920.59282,47818.9,47360.85615,42247.37396,46887.93078,32215.63631,33578.83101,29508.79884,38356.42662,48901.70081,48114.22182,43434.28672,48416.51408,VIM
33378.41852,30800.31757,26528.93309,32198.3,32607.64335,28232.4343,31191.1916,25195.62821,25869.35641,23088.12918,27565.58362,30911.04549,30782.53865,27464.27552,31737.56414,LMNA
6841.435852,15576.69791,7364.656061,6238.1,6415.717063,5920.135986,6543.931924,6058.464526,7266.32583,6099.923516,7155.306191,13533.78612,15006.48575,13333.54129,15482.90234,AKAP12
23037.37729,15296.62717,10534.01796,19284.2,21873.11446,19929.67862,21973.92587,10968.80041,10555.71999,10435.30712,10347.10115,15692.07903,15636.03341,14771.0129,15707.05633,NES
19107.40164,25306.25873,32262.02037,19612.3,18938.79377,19183.75654,19438.8956,31113.41772,30312.60769,30963.62451,33728.67603,25478.9884,24141.13734,24721.16381,25887.35973,HSPA8
6734.639829,9122.926321,4995.359215,10957.3,7200.32646,12809.47095,7608.595921,9059.984642,5361.580583,10872.47831,5839.263241,14703.62327,9764.886577,17068.09019,10432.86142,PRKDC
