GeneNames,value1,value2,log2FC,p-value
LOC_Os09g31130.1,136,0,NA,2.47E-48
LOC_Os05g39990.1,0,63,NA,7.05E-17
LOC_Os01g62900.1,193,4,5.592457037,1.56E-54
LOC_Os05g39250.1,84,2,5.392317423,4.53E-27
LOC_Os03g16920.1,274,7,5.290677161,4.69E-54
LOC_Os03g16030.1,34,1,5.087462841,2.50E-11
LOC_Os02g30180.3,33,1,5.044394119,5.44E-11
LOC_Os04g52500.1,30,1,4.906890596,5.58E-10
LOC_Os02g28980.1,29,1,4.857980995,1.21E-09
LOC_Os05g47540.1,114,4,4.832890014,9.23E-35
LOC_Os03g57200.1,26,1,4.700439718,1.22E-08
LOC_Os05g46040.1,49,2,4.614709844,2.86E-15
LOC_Os01g58194.1,24,1,4.584962501,5.70E-08
LOC_Os09g25850.1,21,1,4.392317423,5.65E-07
LOC_Os03g24450.1,20,1,4.321928095,1.21E-06
LOC_Os04g49350.1,19,1,4.247927513,2.58E-06
LOC_Os05g44340.1,53,3,4.142957954,1.39E-15
LOC_Os05g47540.4,308,18,4.096861539,2.19E-54
LOC_Os03g45960.1,17,1,4.087462841,1.17E-05
LOC_Os03g16020.1,67,4,4.06608919,3.39E-19
LOC_Os09g27830.3,32,2,4,1.14E-09
LOC_Os05g33960.1,94,6,3.969626351,6.46E-26
LOC_Os01g08860.2,61,4,3.930737338,4.93E-17
LOC_Os04g37619.2,200,14,3.836501268,9.62E-53
LOC_Os03g05310.1,71,5,3.827819025,1.72E-19
LOC_Os07g48450.3,14,1,3.807354922,0.000110256
LOC_Os08g41390.2,95,7,3.762500686,1.80E-25
LOC_Os03g51920.1,53,4,3.727920455,1.33E-14
LOC_Os01g55270.1,13,1,3.700439718,0.0002312
LOC_Os05g04700.1,38,3,3.662965013,1.25E-10
LOC_Os09g20220.1,24,2,3.584962501,6.30E-07
LOC_Os10g37210.1,12,1,3.584962501,0.000482598
LOC_Os03g18870.1,45,4,3.491853096,4.05E-12
LOC_Os01g19130.1,22,2,3.459431619,2.49E-06
LOC_Os02g57220.1,11,1,3.459431619,0.001824504
LOC_Os03g60080.1,120,11,3.447458977,6.22E-30
LOC_Os02g32504.1,65,6,3.437405312,1.11E-16
LOC_Os10g32680.3,52,5,3.378511623,2.53E-13
LOC_Os08g20660.1,31,3,3.36923381,1.73E-08
LOC_Os01g51410.2,225,22,3.354349573,6.76E-54
LOC_Os06g50040.1,10,1,3.321928095,0.003554573
LOC_Os03g17870.1,109,11,3.308752706,1.39E-26
LOC_Os10g37730.1,19,2,3.247927513,1.96E-05
LOC_Os12g42876.1,1099,117,3.231610951,1.05E-55
LOC_Os12g02250.1,28,3,3.222392421,1.42E-07
LOC_Os12g42884.2,797,88,3.179004295,2.59E-54
LOC_Os05g49770.2,27,3,3.169925001,2.86E-07
LOC_Os07g12340.1,18,2,3.169925001,3.90E-05
LOC_Os02g49980.1,9,1,3.169925001,0.006924186
LOC_Os05g38530.1,88,10,3.137503524,1.18E-20
LOC_Os07g04210.1,26,3,3.115477217,5.74E-07
LOC_Os01g62870.1,17,2,3.087462841,7.74E-05
LOC_Os01g11070.1,25,3,3.058893689,1.15E-06
LOC_Os07g44060.1,24,3,3,2.29E-06
LOC_Os05g42250.1,16,2,3,0.000153104
LOC_Os03g13300.1,8,1,3,0.013464114
LOC_Os01g62290.1,186,24,2.95419631,1.45E-40
LOC_Os10g31820.2,46,6,2.938599455,9.05E-11
LOC_Os02g52780.1,23,3,2.938599455,4.56E-06
LOC_Os01g50030.1,168,22,2.932885804,2.26E-36
LOC_Os09g04790.1,60,8,2.906890596,7.77E-14
LOC_Os01g61320.2,15,2,2.906890596,0.000301869
LOC_Os08g39140.3,239,32,2.900866808,9.89E-51
LOC_Os03g43720.2,44,6,2.874469118,3.21E-10
LOC_Os08g04430.1,29,4,2.857980995,3.95E-07
LOC_Os02g02410.1,164,23,2.833990049,1.71E-34
LOC_Os12g44050.1,35,5,2.807354922,2.33E-08
LOC_Os06g12310.1,28,4,2.807354922,7.59E-07
LOC_Os01g59500.2,14,2,2.807354922,0.000592514
LOC_Os11g03410.1,7,1,2.807354922,0.02608158
LOC_Os01g03730.1,41,6,2.772589504,2.17E-09
LOC_Os03g57340.1,75,11,2.769387072,3.06E-16
LOC_Os05g04360.1,20,3,2.736965594,5.77E-05
LOC_Os01g22010.2,119,18,2.724892762,1.06E-24
LOC_Os09g26880.3,111,17,2.706953025,6.99E-23
LOC_Os05g05740.1,13,2,2.700439718,0.001156603
LOC_Os09g31486.1,51,8,2.672425342,4.38E-11
LOC_Os05g46290.1,25,4,2.64385619,5.36E-06
LOC_Os04g47220.1,118,19,2.634715536,9.47E-24
LOC_Os09g32050.1,31,5,2.632268215,5.60E-07
LOC_Os02g44870.1,85,14,2.602036014,3.14E-17
LOC_Os02g43020.1,48,8,2.584962501,2.90E-10
LOC_Os06g08110.1,30,5,2.584962501,1.03E-06
LOC_Os02g09810.3,18,3,2.584962501,0.000200426
LOC_Os04g32340.1,12,2,2.584962501,0.002242721
LOC_Os06g07370.1,6,1,2.584962501,0.050202172
LOC_Os06g40940.3,148,25,2.565597176,8.86E-29
LOC_Os08g40510.1,17,3,2.502500341,0.000372565
LOC_Os03g04970.1,28,5,2.485426827,3.48E-06
LOC_Os03g58790.1,39,7,2.478047297,3.51E-08
LOC_Os02g30900.1,22,4,2.459431619,3.69E-05
