rank,gene,log2fc,pvalue
1,ZBTB16,-7.352656406,9.14E-43
2,SLC16A12,-4.122976351,1.25E-19
3,INHBB,-3.450087631,1.87E-61
4,FGF22,-3.004789826,0.000955734
5,MT1G,-2.410529888,0.138221298
6,LINC02158,-2.409856432,0.162322495
7,KIAA0040,-2.353654895,1.71E-09
8,OTULINL,-2.230276334,4.12E-05
9,HTRA4,-2.219205514,0.012498025
10,FBXW12,-2.141662238,0.069590713
11,LINC01504,-2.054076248,0.411123126
12,SORBS1,-1.897631448,1.56E-09
13,SUN2,-1.859066595,2.43E-51
14,ADAP1,-1.70859911,0.012077574
15,TMEM236,-1.697524368,0.238950099
16,DAPK2,-1.683677245,1.48E-25
17,STARD13-AS,-1.678879833,0.192229297
18,PKDCC,-1.558130111,6.34E-20
19,HP,-1.489485491,0.364165222
20,EDA,-1.481617507,9.43E-09
21,INHBC,-1.463214404,0.327198727
22,ADHFE1,-1.44423937,4.10E-18
23,HMSD,-1.429231598,0.290954692
24,CDH4,-1.310551886,2.07E-05
25,HLF,-1.287481568,4.05E-05
26,CYP7B1,-1.250127818,0.015982291
27,COL7A1,-1.233408099,2.15E-32
28,GRAMD2B,-1.232328437,2.99E-15
29,FAM71F1,-1.166924247,0.328613706
30,ZSCAN5C,-1.137461394,0.381822952
31,LIPE,-1.113045858,0.004020146
32,EBF1,-1.109841263,2.34E-15
33,FBXO32,-1.086401625,0.000173479
34,LINC01393,-1.079515976,0.291337518
35,ANPEP,-1.062719865,3.28E-20
36,ABCC9,-1.057149662,1.03E-26
37,CRIM1,-1.050411295,1.84E-14
38,EXOSC10-AS1,-1.012951056,0.464413487
39,LGALS4,-0.998029484,0.42011329
40,PTK2B,-0.988806829,7.43E-08
41,STX12,-0.945098667,2.15E-16
42,ZFP92,-0.934234208,0.242449611
43,CTH,-0.923468544,0.002483958
44,SRPX,-0.919775141,3.00E-17
45,CNTNAP3,-0.915000656,0.004956987
46,MT1L,-0.914051023,2.87E-05
47,ACTN2,-0.896202053,0.296971707
48,STRADB,-0.894253767,7.33E-13
49,ATP2C2,-0.85775144,0.509277603
50,NAP1L2,-0.839707419,0.003107807
51,CDKL4,-0.838972801,0.258281267
52,NT5DC3,-0.837170219,3.19E-05
53,PKD1P6-NPIPP1,-0.832038697,0.11358925
54,NLGN4Y-AS1,-0.816536045,0.576727104
55,CCNA1,-0.815889705,0.515050356
56,LOC101929340,-0.813251534,0.581677513
57,HS2ST1,-0.810636482,2.80E-07
58,LOC107985092,-0.801265256,0.206426369
59,NFKBIA,-0.798762066,6.31E-06
60,RPA4,-0.797684136,0.669078804
61,DGKH,-0.797295061,5.42E-13
62,TMEM200B,-0.787980334,4.49E-09
63,P2RX5-TAX1BP3,-0.77920919,0.299087331
64,LOC102725072,-0.767890607,0.024863393
65,RNF157,-0.764644425,0.001329165
66,MIR17HG,-0.761692047,0.263590044
67,DHTKD1,-0.743829825,6.67E-11
68,CLN3,-0.737035677,0.126366516
69,LIN52,-0.733742729,9.84E-06
70,RAET1K,-0.726514874,0.575905414
71,TEAD1,-0.725002862,1.19E-13
72,ARNTL,-0.724375681,2.00E-05
73,AP5B1,-0.704498655,0.000804875
74,FLVCR2,-0.703953979,0.035286128
75,LOC101929295,-0.701186576,0.092456211
76,HASPIN,-0.685827966,0.246543902
77,STARD13,-0.680122603,9.92E-06
78,LOC105369340,-0.678167508,0.687785976
79,MFAP3L,-0.66323968,0.059817585
80,ABHD15,-0.655421925,1.25E-07
81,MYH10,-0.618166365,4.46E-08
82,C9orf163,-0.615746673,0.542046617
83,ARMC2,-0.599788495,0.016553945
84,ENTPD4,-0.598243757,1.96E-07
85,PID1,-0.5981241,4.94E-06
86,SOD2,-0.588417318,0.000496638
87,LTN1,-0.587403501,2.98E-06
88,CCDC3,-0.576219358,0.013335395
89,NOTCH3,-0.575813845,3.68E-09
90,HSPB7,-0.569802661,0.001516993
91,CDC37L1,-0.567739522,0.000144062
92,ACBD3-AS1,-0.567530536,0.693414083
93,SLAIN1,-0.567292637,0.752287509
94,WHAMM,-0.554115889,1.22E-05
95,GPD2,-0.545360274,0.000161695
96,MRGPRF,-0.543572321,4.09E-08
97,GPR137B,-0.536205274,7.28E-05
98,WASF1,-0.535975486,1.16E-07
99,RAB29,-0.531571665,2.19E-07
100,KANK3,-0.531327765,0.432950437
101,A4GALT,-0.528824613,3.52E-05
102,ZNF704,-0.510232594,0.045322717
103,SP110,-0.503133755,0.000944626
104,SCUBE1,-0.501577834,0.09357097
105,CLDND1,-0.50138271,3.67E-06
106,PTPN11,-0.500117153,1.53E-09
107,EFNB2,-0.498756199,0.176918422
108,TCF21,-0.498551279,3.91E-06
109,FURIN,-0.496357866,7.95E-07
110,MGARP,-0.485580747,0.075334564
111,MAP3K3,-0.481959361,0.000998124
112,HEYL,-0.480400678,0.770370028
113,ERG,-0.476654996,0.571771094
114,SLC25A12,-0.475990696,0.002019078
115,NID2,-0.471103505,2.33E-05
116,NAA20,-0.47042903,4.37E-05
117,CD3EAP,-0.47012563,0.248120894
118,TDRD7,-0.46591099,0.000760809
119,CCDC51,-0.462040413,0.000842847
120,OSMR,-0.461971472,2.08E-06
121,GPR160,-0.416147084,0.271088577
122,SLC31A1,-0.415069305,7.62E-05
123,CALCOCO1,-0.411307657,0.000156186
124,MON1B,-0.410153588,0.000298873
125,GAN,-0.407570856,0.01635283
126,N4BP2,-0.407388506,0.002566566
127,PCGF5,-0.407209352,0.001932423
128,MDFIC,-0.404853434,0.000193716
129,TCAP,-0.39975016,0.559194406
130,SNAPC2,-0.396527688,0.003190106
131,MED30,-0.396085703,0.041841199
132,LOC105378721,-0.395530127,0.395926813
133,BCKDHA,-0.394530369,0.85541695
134,NUDT3,-0.393573596,0.006220322
135,FAR2,-0.38982063,0.010977552
136,ATG9A,-0.387006373,1.90E-05
137,NBEAL2,-0.386349569,0.046083469
138,TMEM11,-0.385715118,0.004276009
139,MIIP,-0.385169683,0.01159956
140,RGS9,-0.382828792,0.319564307
141,MTFR1,-0.382268793,0.00624219
142,SNHG12,-0.382198886,0.034733058
143,PLEKHA3,-0.381715962,0.004254937
144,SDC2,-0.380299883,0.000221139
145,CHRNA10,-0.378190292,0.559545449
146,NABP1,-0.376906163,0.016232051
147,PDGFD,-0.374055588,0.028404008
148,ACADSB,-0.371642717,0.001026813
149,MOAP1,-0.370218831,0.005354762
150,SPRY1,-0.363726305,0.005975841
151,DHX33,-0.360901539,0.006265706
152,WASHC4,-0.354020045,0.00039402
153,WNK3,-0.353780617,0.290550878
154,SGPP2,-0.352263008,0.738728216
155,ETNK1,-0.346709867,0.010071071
156,LOC100506083,-0.344887232,0.7637631
157,PSPN,-0.341787319,0.173369944
158,ARSJ,-0.308121503,0.013668313
159,ECPAS,-0.307692363,0.001385841
160,LOC101928673,-0.307535319,0.487549011
161,LYPLA1,-0.307339707,0.025000003
162,TMEM70,-0.307245605,0.04183418
163,CDC73,-0.306450078,0.002233764
164,SIK2,-0.306219984,0.001615813
165,RBM34,-0.305248654,0.56167531
166,ITPA,-0.303351845,0.010066192
167,DCAF13,-0.302913807,0.005964713
168,ATG4D,-0.302536424,0.154804816
169,DOHH,-0.295110188,0.076510183
170,SPIDR,-0.294196415,0.002481002
