Set1,Set2,Set3,Set4
PLEC,HNRNPM,HUWE1,RPS8
AHNAK,NCL,ANXA2,DDB1
FLNA,KHSRP,PARP1,USP5
TLN1,EEF2,AARS1,H4C15
VIM,ANXA1,PDIA4,WARS1
LMNA,EPRS1,ALDOA,DDX19A
AKAP12,HSP90B1,TUBB,RAB7A
NES,ACTN4,NONO,DPYSL3
HSPA8,TPR,TUBA1B,PPIB
PRKDC,HSPA1A,YWHAZ,RPL7A
RRBP1,VCP,TCOF1,RPS3
MYH9,DYNC1H1,CCT8,VARS
PKM,PYGB,NPM1,DARS1
HSP90AA1,P4HB,CLTC,EIF3J
HSP90AB1,HNRNPU,TUBB4B,ITGB3
HSPA5,CSPG4,HSPH1,RANBP2
ACTG1,NUMA1,TKT,DCTN1
ENO1,GAPDH,CCT4,LRRC47
ACTB,SUPT16H,CCT3,NAMPT
FLNB,LAP3,TCOF1,CDV3
SPTAN1,YWHAQ,HYOU1,ATAD3A
SPTBN1,EIF3B,UBA1,CALD1
MYH10,SMC3,CCT7,ARHGEF1
HSPA9,ASPH,MDH2,RPSA
PGK1,PHGDH,ACTA1,EIF2S1
MAP4,GART,MSN,LGALS1
FASN,HNRNPA1,NPM1,MANF
HSPD1,UBAP2L,KTN1,H2BC13
HNRNPM,CTTN,H1-3,SNRNP70
NCL,RPS3A,STIP1,ATXN2L
KHSRP,TPM3,TRIM28,MAGED2
EEF2,YWHAG,PDIA3,H2BC5
ANXA1,CDC37,EEA1,SMARCA5
EPRS1,EEF1G,VCL,UGGT1
HSP90B1,EIF3C,H1-4,HNRNPUL1
ACTN4,SYNCRIP,CKAP4,THRAP3
TPR,STMN1,EIF3A,PHB2
HSPA1A,CALR,SND1,SMARCA4
VCP,CCT4,CCT2,IGF2BP3
DYNC1H1,CCT3,ATP5F1A,AHCY
PYGB,TCOF1,EEF1A1,KPNB1
P4HB,HYOU1,FUBP1,FTSJ3
HNRNPU,UBA1,DDX5,MCM6
CSPG4,CCT7,H1-2,ACOT7
NUMA1,MDH2,TPM3,PLIN3
GAPDH,ACTA1,ACTN1,SART3
HNRNPU,MSN,KIF5B,DLD
HSPA4,NPM1,TUFM,DYNC1I2
ATP1A1,KTN1,DHX9,RBMXL1
