Accession,Sample1,Sample2,Sample3,Sample4
NP_001094284.1,2.063548459,-3.5,0,-4.15494
NP_001093640.1,0.109771475,-1.309948676,-0.190804231,-4.0254
NP_001077090.1,3.081884517,-1.022372087,-1.107748493,-3.89586
NP_000026.2,8.4,-0.929805966,0,-3.76632
NP_000937.1,0.1291368,-0.753555326,0.05989365,-3.63678
NP_000018.2,2.9,0,9.3,-3.50724
NP_000020.1,5.1,0,7.7,-3.3777
NP_000092.2,3.229818651,0,5.809044782,-3.24816
NP_000228.1,3.284022402,0,2.807127579,-3.11862
NP_000234.1,4.282942136,0,4.466857848,-2.98908
NP_000240.1,3.140314349,0,3.63624302,-2.85954
NP_000259.1,4.37875069,0,3.980459182,-2.73
NP_000335.1,1.666294791,0,1.924964069,-2.60046
NP_000422.1,2.229740741,0,2.852451569,-2.47092
NP_000537.3,0.376051541,0,0,-2.34138
NP_000544.2,3.828589723,0,4.407356837,-2.21184
NP_000622.2,3.815699578,0,3.736354504,-2.0823
NP_000689.1,2.022714741,0,2.296932847,-1.95276
NP_000845.2,1.35701476,0,1.461992093,-1.82322
NP_000876.3,2.299774068,0,1.896394917,-1.69368
NP_000936.1,2.982467151,0,3.471707248,-1.56414
NP_000953.2,0.907812646,0,1.537940946,-1.4346
NP_001007279.1,3.429748663,0,2.206735038,-1.30506
NP_001010853.1,3.654091991,0,3.844995765,-1.17552
NP_001018087.1,3.058507003,0,2.381821744,-1.04598
NP_001034624.1,0.941064452,0,0,-0.91644
NP_001034679.2,0.79108904,0,0.711970346,-0.7869
NP_001035203.1,3.759335152,0,0,-0.65736
NP_001035207.1,4.214334813,0,0,-0.52782
NP_001036038.1,1.292635533,0,0,-0.39828
NP_001036816.1,3.589151209,0,0,-0.26874
NP_001041706.1,2.401491834,0,0,-0.1392
NP_001073890.2,0.122710531,0,0,-0.00966
NP_001092099.1,3.710354123,0,0,0.11988
NP_001092272.1,1.026162042,0,0,0.24942
NP_001092287.1,0.778879982,0,0,0.37896
NP_001093254.2,1.405468029,0,0,0.5085
NP_001093589.1,-0.789826628,0,0,0.63804
NP_001093897.1,6.219331573,0,0,0.76758
NP_001099026.1,3.48214636,0,0,0.89712
NP_001108225.1,3.323083724,0,0,1.02666
NP_001032354.1,4.138722849,0,3.91075021,1.1562
NP_001027467.2,4.69039504,0,4.818592766,1.28574
NP_001032417.1,5.340148994,0,4.457109872,1.41528
NP_001020471.2,4.738471519,0,5.040441287,1.54482
NP_001012533.1,5.728586848,0,5.554034922,1.67436
NP_001020092.1,7.363416696,0,7.14811401,1.8039
NP_001016.1,7.995879965,0,8.01408996,1.93344
NP_001018077.1,9.250152201,0,9.907398482,2.06298
NP_001008661.1,4.419954362,0.08640426,4.666166656,2.19252
NP_001087224.1,3.482773755,0.10243437,-0.087710738,2.32206
NP_000880.1,1.873776322,0.25004691,2.059893649,2.4516
NP_001034931.1,2.629372313,0.257224512,0.477214009,2.58114
NP_001003945.1,1.864177517,0.289089011,2.695482223,2.71068
NP_001034782.1,0,0.374077953,0.996822772,3.8945
NP_001035787.1,2.26372284,0.383948197,0.611963421,3.9015
NP_001040625.1,1.500230952,0.460569478,0.754747984,3.9085
NP_001001503.1,0.885211217,0.585582058,0,3.9155
NP_001001660.2,1.116255509,0.599767964,0,3.9225
NP_001035982.1,4.033032032,0.613815739,0.768553784,3.9295
NP_000288.1,0.022714741,0.613815739,0,3.9365
NP_001003690.1,0.386817972,0.636011485,1.610090732,3.9435
NP_001007524.1,2.350154571,0.655156534,2.744391824,3.9505
NP_001007560.1,0,0.682073267,0,3.9575
NP_001005333.1,2.141904096,0.752335603,2.91075021,3.9645
NP_000471.1,3.946077771,0.754873326,3.452211072,3.9715
NP_001074473.1,1.551369801,0.871715163,0.985045604,3.9785
NP_000401.1,2.024439421,0.904084678,2.556319476,3.9855
NP_001060.1,4.094254085,0.955735309,0.470472431,3.9925
