Accession,LOG2 foldchange of130N Sample,Adjusted P Value130N Sample
XP_005251033.1,0.080648246,0.071973129
XP_016873759.1,-0.369008611,0.41556218
NP_001104026.1,-0.130163901,0.428289474
NP_006280.3,0.390702166,2.01972156
NP_003371.2,-0.366859089,0.844926876
NP_733821.1,-0.283218635,0.973475409
NP_005091.2,0.851522523,0.585363878
NP_006608.1,0.026054551,0.020717528
NP_006588.1,0.066008297,0.078612924
NP_008835.5,0.643460125,0.892399034
NP_001352542.1,-0.207389969,0.224081449
NP_002464.1,-0.061490234,0.517536723
XP_006720633.1,0.499683976,2.112958573
NP_001017963.2,-0.075728601,0.257962093
NP_001258898.1,0.091159056,0.173852416
NP_005338.1,0.006387597,0.011983737
NP_001186883.1,-0.095332938,0.031220093
NP_001419.1,0.060756644,0.10546575
NP_001092.1,0.245042309,0.467497807
NP_001157789.1,0.038859744,0.061868423
NP_003118.2,-0.071499644,0.127704233
XP_005264575.1,0.061992987,0.059503121
XP_011522177.1,-0.16526117,0.223821636
NP_004125.3,0.121630452,0.190411791
NP_000282.1,0.400463878,0.555517579
XP_011532005.1,-0.194438851,0.137461795
NP_004095.4,0.324277185,0.406725685
NP_002147.2,-0.226212679,0.180018822
NP_005959.2,-0.334075233,0.610605587
NP_005372.2,-0.557256721,0.504529852
NP_001353228.1,0.114150908,0.229343601
NP_001952.1,0.496706325,2.313968357
NP_000691.1,-0.18369832,0.405726499
NP_004437.2,0.445084638,0.698900941
NP_003290.1,0.271364488,0.70828538
NP_004915.2,-0.068353938,0.188391505
NP_003283.2,-0.293736808,0.434627739
NP_005336.3,-0.099105178,0.155871728
NP_009057.1,0.403705535,0.249810898
NP_001367.2,0.590655092,0.939853021
NP_002853.2,0.760605451,1.937877242
NP_000909.2,0.484165383,1.955052504
NP_114032.2,-0.078321481,0.082310914
NP_001888.2,0.468430269,0.771983799
XP_011543356.1,-0.166975935,0.573375369
NP_001276674.1,0.035918602,0.046623804
NP_004492.2,-0.927168543,0.634249305
NP_002145.3,0.096483344,0.063644028
