Accession, 129C  Sample  BR1, 129C  Sample  BR1, 129C  Sample  BR1, 131  Sample  BR1, 131  Sample  BR1
NP_000008.1,4.568907672,5.752891111,4.935533311,5.672418419,5.672418419
NP_000010.1,8.376009326,8.81745777,8.484959654,8.816129563,8.816129563
NP_000012.1,2.739521898,3.806548187,0,3.717510545,3.717510545
NP_000013.2,3.560908315,3.166261443,3.744391823,3.295099599,3.295099599
NP_000018.2,2.781941947,0,2.110519723,0,0
NP_000019.2,5.894435793,6.247233431,6.359755803,6.050711137,6.050711137
NP_000020.1,4.389831609,0,3.678803482,0,0
NP_000024.2,4.939922628,2.990067349,5.14735649,2.964801099,2.964801099
NP_000025.1,11.33174498,11.31404037,11.40137276,11.39338057,11.39338057
NP_000026.2,0.842832615,-0.929805966,0,-0.595194485,-0.595194485
NP_000037.2,3.764504254,2.17907283,4.285961729,1.897287098,1.897287098
NP_000044.2,3.710354123,3.214535425,3.307821163,3.07667608,3.07667608
NP_000055.2,4.43169957,4.473145857,3.63624302,4.472582561,4.472582561
NP_000057.2,2.794125228,3.120749839,3.195053233,2.778139833,2.778139833
NP_000066.1,2.558529592,3.539594409,3.318627918,3.717866371,3.717866371
NP_000088.3,6.080848917,6.310971893,6.141281976,6.248326351,6.248326351
NP_000089.1,6.00119942,5.123452666,6.096459779,4.907461846,4.907461846
NP_000090.1,4.123515382,3.885097789,4.560877758,3.847423821,3.847423821
NP_000091.1,7.030888672,5.862258198,6.446064088,5.942366529,5.942366529
NP_000092.2,5.739784373,0,5.809044782,0,0
NP_000095.2,3.201051982,2.460569478,3.229818651,2.29748225,2.29748225
NP_000098.1,6.120797209,6.732957942,6.107407111,6.725495471,6.725495471
NP_000099.2,7.747701761,8.258929544,7.826659163,8.133059516,8.133059516
NP_000101.2,5.641223189,4.676227994,5.119817467,4.77198469,4.77198469
NP_000104.1,1.648510959,3.639105554,1.678803482,3.679651824,3.679651824
NP_000108.1,5.931330017,6.486377287,5.481357418,6.470525222,6.470525222
NP_000111.1,4.136332301,5.710132515,4.556319476,5.749536558,5.749536558
NP_000114.2,2.899378549,3.474108746,1.867248571,3.575908706,3.575908706
NP_000117.1,8.053553448,7.485971603,7.651816652,7.577674191,7.577674191
NP_000121.2,3.429748663,4.046309084,3.329354324,4.216699595,4.216699595
NP_000134.2,8.646692465,8.468877348,8.50520416,8.491943317,8.491943317
NP_000135.2,1.776835056,2.039300026,1.007426229,2.433686634,2.433686634
NP_000138.2,2.205619886,2.608914562,1.896394917,2.350765674,2.350765674
NP_000145.1,4.921760822,3.048120702,5.226953317,3.238191726,3.238191726
NP_000146.2,0.807208705,3.870253021,0,3.936339875,3.936339875
NP_000147.1,5.195895743,5.44700003,4.412410064,5.600238036,5.600238036
NP_000149.3,5.73426234,5.995375457,5.442363286,6.052546088,6.052546088
NP_000150.1,3.37470007,4.529996097,4.091742515,4.474268445,4.474268445
NP_000159.3,3.20865714,4.096193791,3.695482224,4.051487748,4.051487748
NP_000160.1,2.924534347,2.264366581,0.159429323,2.240174812,2.240174812
NP_000172.2,5.663668818,6.290948083,6.172891583,6.091100045,6.091100045
NP_000173.2,8.957111036,8.892877378,9.021756723,8.853539288,8.853539288
NP_000177.2,2.608827258,4.357267247,2.59238873,4.252998852,4.252998852
NP_000179.2,8.702767158,9.064123885,8.763797223,8.988681016,8.988681016
NP_000181.2,5.004916863,4.81234644,4.867248572,4.689845018,4.689845018
NP_000182.2,5.222621858,6.624696172,5.329354324,6.536006807,6.536006807
NP_000185.1,7.310857794,6.113538044,7.200905958,6.233284278,6.233284278
NP_000190.1,3.273908324,1.033041035,3.924964069,1.473847158,1.473847158
NP_000192.2,4.438507042,1.602588484,4.280444724,1.51537838,1.51537838
NP_000199.2,4.313240737,4.024916107,4.605685553,3.938478786,3.938478786
NP_000201.2,5.118477682,5.794572997,4.618860941,5.873689058,5.873689058
NP_000217.2,7.784488629,8.334835421,7.033078494,7.363187638,7.363187638
